,All vehicles,Commercial vehicles,Current account balance (Percent of GDP),Current account balance (U.S. dollars),Employment (Persons),Export volume of goods and services (Percent change),Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP (Current international dollar),"Gross domestic product per capita, current prices (U.S. dollars)","Gross domestic product, constant prices (Percent change)","Gross domestic product, current prices (U.S. dollars)","Gross domestic product, deflator (Index)",Gross national savings (Percent of GDP),Import volume of goods and services (Percent change),"Inflation, average consumer prices (Index)","Inflation, average consumer prices (Percent change)",Investment (Percent of GDP),Output gap in percent of potential GDP (Percent of potential GDP),Passengers Cars,Population (Persons),Trade volume of goods and services (Percent change),Unemployment rate (Percent of total labor force),country,year
414,3000.0,1000.0,-7.801,-4.615,,-11.017000000000001,169.28,2880.0290000000005,8.246,59.157,228.49200000000002,22.156,35.260999999999996,151.467,6.7170000000000005,29.956999999999997,,2000.0,20.541,,4.1,sri lanka,2011
415,2900.0,900.0,-6.707000000000001,-3.983,,-8.308,183.238,2874.3459999999995,6.336,59.378,248.87400000000002,23.941,-18.903,162.892,7.542999999999999,30.649,,2000.0,20.658,,4.0,sri lanka,2012
416,34940.0,8984.0,-11.635,-3.3710000000000004,,3.5989999999999998,87.291,3753.2790000000005,6.358,28.971,100.0,15.917,8.814,100.0,6.041,27.552,,25956.0,7.718999999999999,,10.177,bulgaria,2005
417,45300.0,8845.0,-17.555,-5.836,,0.063,95.831,4329.162,6.511,33.245,106.89,14.585999999999999,6.136,107.41799999999999,7.417999999999999,32.141,,36455.0,7.678999999999999,,9.022,bulgaria,2006
418,55336.0,11815.0,-25.201999999999998,-10.629000000000001,,12.165999999999999,104.725,5520.388000000001,6.4479999999999995,42.177,116.70700000000001,8.891,13.952,115.55,7.571000000000001,34.093,,43521.0,7.64,,6.935,bulgaria,2007
419,57927.0,12784.0,-23.039,-12.013,,9.658,113.39,6854.9890000000005,6.191,52.143,126.54,14.502,8.546,129.358,11.95,37.542,,45143.0,7.607,,5.664,bulgaria,2008
420,26813.0,3944.0,-8.926,-4.343,,-8.394,107.994,6432.504,-5.476,48.653999999999996,131.991,20.44,-24.441999999999997,132.55700000000002,2.472,29.366,,22869.0,7.564,,6.877999999999999,bulgaria,2009
421,20082.0,3825.0,-1.479,-0.7070000000000001,,-1.273,109.743,6374.1230000000005,0.39299999999999996,47.836999999999996,135.688,21.408,-9.435,136.58100000000002,3.036,22.886999999999997,,16257.0,7.505,,10.306,bulgaria,2010
422,22910.0,4279.0,0.102,0.054000000000000006,,12.675,114.07,7311.803000000001,1.841,53.575,142.299,22.024,7.6739999999999995,141.21,3.389,21.923000000000002,,18631.0,7.327000000000001,,11.35,bulgaria,2011
423,23419.0,4000.0,-0.9179999999999999,-0.47100000000000003,,-0.634,116.79899999999999,7048.62,0.586,51.328,146.694,20.825,6.942,144.583,2.3890000000000002,21.741999999999997,,19419.0,7.282,,12.379000000000001,bulgaria,2012
424,4000.0,1000.0,-9.552999999999999,-1.073,,-1.63,20.44,4186.201,0.894,11.228,95.234,14.998,0.094,169.71599999999998,13.419,26.912,,3000.0,2.682,,11.225,jamaica,2005
425,4000.0,1000.0,-10.046,-1.2,,12.573,21.673000000000002,4429.575,2.873,11.943,103.708,17.439,9.214,184.861,8.924,28.428,,3000.0,2.696,,10.325,jamaica,2006
426,5000.0,2000.0,-15.338,-1.975,,8.056000000000001,22.568,4754.772,1.4340000000000002,12.877,115.435,15.46,16.208,201.812,9.17,26.548000000000002,,3000.0,2.708,,9.85,jamaica,2007
427,5000.0,2000.0,-17.695999999999998,-2.432,,-9.234,22.825,5053.909000000001,-0.8079999999999999,13.741,131.092,6.107,-7.857,246.226,22.006999999999998,24.353,,3000.0,2.719,,10.575,jamaica,2008
428,6000.0,2000.0,-11.003,-1.3330000000000002,,15.708,22.212,4436.563,-3.4189999999999996,12.11,145.03,12.943,16.651,269.809,9.578,21.039,,4000.0,2.73,,11.35,jamaica,2009
429,3000.0,1000.0,-8.724,-1.1520000000000001,,-15.505,22.156999999999996,4817.363,-1.4509999999999998,13.207,159.36700000000002,13.395,-16.429000000000002,303.84,12.613,20.177,,2000.0,2.741,,12.375,jamaica,2010
430,3500.0,1500.0,-13.421,-1.935,,-9.31,22.930999999999997,5233.867,1.399,14.418,169.03,8.488999999999999,-3.978,326.705,7.525,22.213,,2000.0,2.755,,12.995999999999999,jamaica,2011
431,4500.0,2500.0,-13.037,-1.9269999999999998,,7.252999999999999,23.234,5339.096,-0.467,14.784,180.042,8.537,4.8180000000000005,349.23800000000006,6.897,19.849,,2000.0,2.7689999999999997,,13.925,jamaica,2012
